userName,score,at,content
Pengguna Google,1,2026-04-20 20:58:30,drivernya jutek²
Pengguna Google,4,2026-04-20 20:46:19,besttt
Pengguna Google,5,2026-04-20 20:43:44,mantap sekali
Pengguna Google,5,2026-04-20 20:43:24,mantap
Pengguna Google,5,2026-04-20 20:32:00,bagusss
Pengguna Google,2,2026-04-20 20:30:31,"akhir akhir ini saya susah mendapatkan driver gofood, padahal sudah pakai express tetap aja, drivernya udah gaada niat ambil orderan? apa gimana?"
Pengguna Google,1,2026-04-20 20:30:05,"pencarian driver sangat lamaaaaaa,cs susah dihubungiii"
Pengguna Google,1,2026-04-20 20:13:50,pdhal mah saya selalu dpt trs namun SDH d kecewain saya malah kaga dpt dpt hadeuhh
Pengguna Google,5,2026-04-20 20:05:00,kiriman cepat dan sesuai
Pengguna Google,5,2026-04-20 19:44:43,simple
Pengguna Google,5,2026-04-20 19:44:25,gojek keren
Pengguna Google,1,2026-04-20 19:43:30,nganter makanan lama
Pengguna Google,5,2026-04-20 19:28:35,bagus
Pengguna Google,5,2026-04-20 19:23:57,Setiap pesanan cepat sampainya
Pengguna Google,5,2026-04-20 19:20:36,"memang gak ada lawan , aplikasi gojek ini..cepat dan mudah digunakan, pelayanan dari gojek pun, memuaskan"
Pengguna Google,5,2026-04-20 19:17:52,bagus sihh cuman aku sering udah pesen tapi itu kepesen lagi itu buat kita bayar dua kali atau di marahin padahal gw gak pesen dua tapi Dateng nya dua
Pengguna Google,5,2026-04-20 19:11:52,👍👍👍
Pengguna Google,1,2026-04-20 19:02:10,"gocar nya enggak jelas, enggak niat nyari duit apa gimana, sudah dekat tapi malah pergi menjauh, mutar mutar gak jelas, setengah jam kemudian di batalkan. buang buang waktu. hama"
Pengguna Google,5,2026-04-20 19:00:03,good lah
Pengguna Google,5,2026-04-20 18:57:33,sangat membantu untuk perjalanan
Pengguna Google,1,2026-04-20 18:52:01,"aplikasi ngelek"" ptongan besar"
Pengguna Google,1,2026-04-20 18:33:45,susah bangey drivernya.
Pengguna Google,5,2026-04-20 18:32:51,tranportasi online terpercaya
Pengguna Google,1,2026-04-20 18:26:13,"hoi anjeng kau, berapa kali mau salah alamat dengan ongkir segini cok, matio mari anjeng"
Pengguna Google,5,2026-04-20 18:12:06,mantap
Pengguna Google,5,2026-04-20 18:02:21,apk sangat luar biasa aku suka
Pengguna Google,5,2026-04-20 17:57:13,Aman terpercaya mantab pokonya
Pengguna Google,1,2026-04-20 17:42:09,apk ojol ampas dimap nya bnyak driver nya ga jam rawan ga cuaca buruk pas dibooking susah minta kali ga ada driver nya menerima bnyak ko driver ga jam sibuk pun susah nungguin smpai ke cancel tetap aja ga mau dapat driver nya
Pengguna Google,5,2026-04-20 17:40:37,mntap
Pengguna Google,5,2026-04-20 17:37:49,Mantap Banyak diskon
Pengguna Google,5,2026-04-20 17:34:16,Okey👍👍👍
Pengguna Google,5,2026-04-20 17:24:27,banyak promo
Pengguna Google,1,2026-04-20 17:24:06,"yooook pindah ke aplikasi Kuning, lebih murah dan banyak promonya."
Pengguna Google,5,2026-04-20 17:17:19,lebih murah
Pengguna Google,5,2026-04-20 17:15:21,pengalaman saya selama pakai Gojek-Transportasi semua nya sudah oke 👍🙏
